DEF_File,NumInstances,NumMacros,NumNets,NumValidPins,NumMissingPins,NumMovableInstances,NumFixedInstances,DieWidth,DieHeight,PinDensity,CellDensity,MacroDensity,AvgNetDegree,RentsExponent,NetSkewness,HPWL,TotalWirelength
4346-RISCY-FPU-a-1-c5-u0.85-m2-p4-f1.def,66888,363,71707,213587,65318,66885,3,1128960,1125900,0.168,0.065,0.0815,3.89,0.0468,32.7692,1534735461,1.55E+11
4160-RISCY-FPU-a-1-c5-u0.75-m1-p2-f0.def,67128,291,71328,214113,64007,67125,3,1194750,1191000,0.1505,0.0577,0.0722,3.9,0.0468,32.3988,1457799631,1.53E+11
4368-RISCY-FPU-a-1-c5-u0.9-m2-p2-f1.def,66954,314,71690,213721,65161,66951,3,1099560,1098600,0.1769,0.068,0.0852,3.89,0.0468,32.8269,1505673902,1.46E+11
3910-RISCY-FPU-a-1-c2-u0.75-m1-p3-f0.def,68440,423,79394,214096,83893,68437,3,1205400,1201500,0.1478,0.061,0.0741,3.75,0.0466,37.6964,1415407520,1.22E+11
4060-RISCY-FPU-a-1-c2-u0.8-m1-p6-f1.def,68012,447,80477,212710,87251,68009,3,1170120,1167900,0.1557,0.0658,0.0782,3.73,0.0465,39.3068,1409964641,1.09E+11
3904-RISCY-FPU-a-1-c2-u0.7-m4-p5-f0.def,65460,571,86298,205708,107656,65457,3,1243620,1239300,0.1335,0.0604,0.0722,3.63,0.0465,46.0231,1383882426,1.09E+11
4026-RISCY-FPU-a-1-c2-u0.7-m3-p3-f1.def,65611,559,87586,205741,109667,65608,3,1243620,1239300,0.1335,0.0617,0.0716,3.6,0.0463,46.8539,1457363753,1.09E+11
4405-RISCY-FPU-a-1-c20-u0.7-m4-p4-f0.def,65523,219,68845,211534,62166,65520,3,1227240,1224600,0.1408,0.0535,0.0683,3.98,0.0472,31.3861,1514738232,1.78E+11
4038-RISCY-FPU-a-1-c2-u0.75-m1-p8-f1.def,67888,430,80742,211276,89459,67885,3,1205400,1201500,0.1459,0.0624,0.0747,3.72,0.0465,39.5786,1434951947,1.17E+11
4302-RISCY-FPU-a-1-c5-u0.75-m2-p7-f1.def,66966,325,71938,213777,65581,66963,3,1194060,1191000,0.1503,0.058,0.0724,3.88,0.0469,34.1167,1541120105,1.64E+11
4333-RISCY-FPU-a-1-c5-u0.8-m3-p6-f1.def,66825,363,71869,213342,65992,66822,3,1159620,1157400,0.159,0.0621,0.077,3.89,0.0469,33.2544,1435758754,1.60E+11
4319-RISCY-FPU-a-1-c5-u0.8-m1-p8-f1.def,67067,311,71378,213979,64236,67064,3,1159620,1157400,0.1594,0.0612,0.0765,3.9,0.0468,31.9762,1488441433,1.50E+11
4231-RISCY-FPU-a-1-c5-u0.85-m2-p7-f0.def,67289,379,72308,214110,65946,67286,3,1129545,1125900,0.1684,0.0646,0.0809,3.87,0.0466,33.2039,4934440553,1.63E+11
3995-RISCY-FPU-a-1-c2-u0.9-m1-p4-f0.def,70437,374,75651,221509,67178,70434,3,1111320,1107000,0.1801,0.0693,0.0835,3.82,0.0464,33.5614,3389858497,1.54E+11
4070-RISCY-FPU-a-1-c2-u0.8-m2-p8-f1.def,66376,524,83804,209543,98017,66373,3,1170120,1167900,0.1533,0.0682,0.0791,3.67,0.0466,43.7422,1433371161,1.15E+11
4570-RISCY-FPU-a-1-c20-u0.8-m2-p7-f1.def,65524,217,68814,211581,62066,65521,3,1155840,1153200,0.1587,0.0603,0.077,3.98,0.0472,30.455,1488818820,1.68E+11
4380-RISCY-FPU-a-1-c5-u0.9-m3-p7-f1.def,66766,387,72248,213194,66863,66763,3,1099560,1098600,0.1765,0.0685,0.0857,3.88,0.0468,33.5616,1450196025,1.37E+11
4432-RISCY-FPU-a-1-c20-u0.75-m3-p8-f0.def,65536,213,68727,211610,61865,65533,3,1190280,1186800,0.1498,0.0569,0.0726,3.98,0.0472,31.0532,1419981615,1.47E+11
4208-RISCY-FPU-a-1-c5-u0.8-m3-p6-f0.def,65333,480,73395,210045,72475,65330,3,1160325,1157400,0.1564,0.0624,0.0784,3.85,0.047,36.3891,3914496991,1.33E+11
4462-RISCY-FPU-a-1-c20-u0.8-m3-p8-f0.def,65525,211,68760,211559,61976,65522,3,1155840,1153200,0.1587,0.0603,0.077,3.98,0.0472,29.9878,1408055050,1.57E+11
4616-RISCY-FPU-a-1-c20-u0.9-m3-p8-f1.def,65475,213,68570,211473,61675,65472,3,1096200,1094400,0.1763,0.067,0.0855,3.98,0.0472,29.8758,1402564550,1.54E+11
4003-RISCY-FPU-a-1-c2-u0.9-m4-p4-f0.def,70448,408,75302,221159,66858,70445,3,1111320,1107000,0.1798,0.0693,0.0835,3.82,0.0463,32.8317,3693609368,1.65E+11
4450-RISCY-FPU-a-1-c20-u0.8-m2-p2-f0.def,65452,214,68591,211416,61766,65449,3,1155840,1153200,0.1586,0.0603,0.077,3.98,0.0471,29.7215,1487099926,1.56E+11
3885-RISCY-FPU-a-1-c2-u0.7-m1-p6-f0.def,67629,420,81967,211120,92440,67626,3,1243620,1239300,0.137,0.0593,0.0703,3.7,0.0465,41.1787,1431716475,1.13E+11
4347-RISCY-FPU-a-1-c5-u0.85-m2-p5-f1.def,67170,281,71309,214222,63846,67167,3,1128960,1125900,0.1685,0.0646,0.0807,3.9,0.0467,31.6697,1414829092,1.57E+11
4124-RISCY-FPU-a-1-c2-u0.9-m3-p6-f1.def,68453,502,79418,217405,79403,68450,3,1111320,1107000,0.1767,0.0731,0.0854,3.74,0.0466,39.2059,1483416239,1.52E+11
4551-RISCY-FPU-a-1-c20-u0.75-m3-p4-f1.def,65512,213,68760,211553,61979,65509,3,1190280,1186800,0.1498,0.0569,0.0726,3.98,0.0472,30.9168,1543469564,1.60E+11
4088-RISCY-FPU-a-1-c2-u0.85-m2-p2-f1.def,66823,527,82189,212254,91074,66820,3,1139040,1136400,0.164,0.0714,0.0825,3.69,0.0467,43.3951,1811618815,1.21E+11
4016-RISCY-FPU-a-1-c2-u0.7-m2-p1-f1.def,66086,577,85178,207271,102795,66083,3,1243620,1239300,0.1345,0.0606,0.07,3.64,0.0463,43.9331,1516150987,1.25E+11
4017-RISCY-FPU-a-1-c2-u0.7-m2-p2-f1.def,64590,534,89060,201797,117778,64587,3,1243620,1239300,0.1309,0.0598,0.0721,3.59,0.0463,47.7391,1412515403,1.17E+11
4489-RISCY-FPU-a-1-c20-u0.85-m4-p1-f0.def,65475,220,68870,211484,62266,65472,3,1125600,1121700,0.1675,0.0636,0.0813,3.97,0.0472,30.5172,1612637784,1.63E+11
4463-RISCY-FPU-a-1-c20-u0.8-m4-p1-f0.def,65494,209,68635,211516,61763,65491,3,1155840,1153200,0.1587,0.0603,0.077,3.98,0.0472,30.0014,1455712121,1.66E+11
4234-RISCY-FPU-a-1-c5-u0.85-m3-p2-f0.def,64976,498,73220,209841,72044,64973,3,1129545,1125900,0.165,0.0653,0.0831,3.85,0.0468,34.4974,4941831606,1.56E+11
4014-RISCY-FPU-a-1-c2-u0.7-m1-p7-f1.def,68663,416,79175,215418,81899,68660,3,1243620,1239300,0.1398,0.058,0.0699,3.76,0.0466,38.1436,1559926812,1.24E+11
4471-RISCY-FPU-a-1-c20-u0.85-m1-p1-f0.def,65464,215,68693,211463,61928,65461,3,1125600,1121700,0.1675,0.0636,0.0813,3.98,0.0472,30.4363,1548162362,1.56E+11
4229-RISCY-FPU-a-1-c5-u0.85-m2-p5-f0.def,67340,372,72264,214319,65650,67337,3,1129545,1125900,0.1685,0.0646,0.0808,3.87,0.0465,32.9583,5114523358,1.60E+11
4152-RISCY-FPU-a-1-c5-u0.7-m4-p2-f0.def,67129,297,71542,214139,64364,67126,3,1231440,1228800,0.1415,0.0543,0.0679,3.89,0.0469,34.2855,1516962381,1.50E+11
4233-RISCY-FPU-a-1-c5-u0.85-m3-p1-f0.def,64707,516,73513,209184,73318,64704,3,1129545,1125900,0.1645,0.0651,0.083,3.84,0.0472,37.4415,4498401846,1.35E+11
4608-RISCY-FPU-a-1-c20-u0.9-m2-p5-f1.def,65473,212,68663,211465,61862,65470,3,1096200,1094400,0.1763,0.067,0.0855,3.98,0.0472,30.3104,1447706769,1.50E+11
4105-RISCY-FPU-a-1-c2-u0.9-m1-p3-f1.def,68723,519,78543,218051,76892,68720,3,1111320,1107000,0.1772,0.0723,0.0859,3.76,0.0467,39.2454,4073656704,1.35E+11
4408-RISCY-FPU-a-1-c20-u0.7-m4-p7-f0.def,65527,216,68849,211596,62124,65524,3,1227240,1224600,0.1408,0.0535,0.0683,3.98,0.0472,30.8189,1475777614,1.73E+11
4256-RISCY-FPU-a-1-c5-u0.9-m4-p1-f0.def,67575,276,71051,214583,62952,67572,3,1099560,1098600,0.1776,0.0678,0.085,3.91,0.0467,31.9756,2516404096,1.57E+11
4219-RISCY-FPU-a-1-c5-u0.85-m1-p1-f0.def,65543,339,72796,210056,71544,65540,3,1129545,1125900,0.1652,0.0639,0.0809,3.87,0.0469,33.9134,1933135807,1.37E+11
4572-RISCY-FPU-a-1-c20-u0.8-m3-p1-f1.def,65531,214,68697,211596,61822,65528,3,1155840,1153200,0.1587,0.0603,0.077,3.98,0.0471,29.9502,1455162000,1.75E+11
4419-RISCY-FPU-a-1-c20-u0.75-m2-p2-f0.def,65484,217,68617,211509,61737,65481,3,1190280,1186800,0.1497,0.0569,0.0727,3.98,0.0472,30.1868,1398860457,1.62E+11
4381-RISCY-FPU-a-1-c5-u0.9-m3-p8-f1.def,67037,348,71951,214003,65361,67034,3,1099560,1098600,0.1772,0.0681,0.0851,3.88,0.0468,33.1671,1560929002,1.27E+11
4091-RISCY-FPU-a-1-c2-u0.85-m2-p5-f1.def,67495,502,81281,213451,88006,67492,3,1139040,1136400,0.1649,0.0705,0.0818,3.71,0.0467,43.0168,1448011906,1.08E+11
4361-RISCY-FPU-a-1-c5-u0.9-m1-p3-f1.def,67083,301,71431,214034,64263,67080,3,1099560,1098600,0.1772,0.0679,0.0851,3.9,0.0468,33.2754,1528673784,1.41E+11
4537-RISCY-FPU-a-1-c20-u0.75-m1-p5-f1.def,65510,215,68720,211558,61907,65507,3,1190280,1186800,0.1498,0.0569,0.0726,3.98,0.0472,30.729,1451351713,1.65E+11
4524-RISCY-FPU-a-1-c20-u0.7-m2-p7-f1.def,65517,223,68843,211568,62139,65514,3,1227240,1224600,0.1408,0.0535,0.0683,3.98,0.0472,31.0564,1570703277,1.67E+11
4004-RISCY-FPU-a-1-c2-u0.9-m4-p5-f0.def,70375,391,75209,221144,66670,70372,3,1111320,1107000,0.1798,0.0692,0.0835,3.83,0.0463,33.2314,1973930845,1.42E+11
4442-RISCY-FPU-a-1-c20-u0.8-m1-p2-f0.def,65522,210,68610,211603,61634,65519,3,1155840,1153200,0.1588,0.0603,0.077,3.98,0.0471,29.7133,1338879109,1.56E+11
3896-RISCY-FPU-a-1-c2-u0.7-m3-p5-f0.def,66545,584,84762,210841,98217,66542,3,1243620,1239300,0.1368,0.0603,0.0701,3.65,0.0464,45.0047,1448877576,1.20E+11
4391-RISCY-FPU-a-1-c20-u0.7-m2-p4-f0.def,65515,211,68747,211536,61972,65512,3,1227240,1224600,0.1408,0.0535,0.0683,3.98,0.0472,31.3109,1471792650,1.64E+11
4448-RISCY-FPU-a-1-c20-u0.8-m1-p8-f0.def,65527,215,68622,211584,61684,65524,3,1155840,1153200,0.1587,0.0603,0.0769,3.98,0.0471,29.6912,1325116518,1.61E+11
4119-RISCY-FPU-a-1-c2-u0.9-m3-p1-f1.def,68499,493,79274,217737,78747,68496,3,1111320,1107000,0.177,0.0736,0.0859,3.74,0.0467,40.8544,1877828333,1.51E+11
4264-RISCY-FPU-a-1-c5-u0.7-m1-p1-f1.def,67118,293,71375,214084,64112,67115,3,1231440,1228800,0.1415,0.0542,0.0679,3.9,0.0468,33.3164,1542575495,1.50E+11
4194-RISCY-FPU-a-1-c5-u0.8-m1-p6-f0.def,67036,286,71223,213927,63970,67033,3,1160325,1157400,0.1593,0.061,0.0764,3.9,0.0468,31.9562,1386629962,1.49E+11
4214-RISCY-FPU-a-1-c5-u0.8-m4-p4-f0.def,67061,309,71575,213978,64618,67058,3,1159620,1157400,0.1594,0.0612,0.0766,3.89,0.0468,32.42,1516794868,1.65E+11
4240-RISCY-FPU-a-1-c5-u0.85-m4-p1-f0.def,66916,342,71891,213741,65481,66913,3,1128960,1125900,0.1682,0.0646,0.0809,3.88,0.0468,33.0024,1510701968,1.50E+11
4428-RISCY-FPU-a-1-c20-u0.75-m3-p3-f0.def,65526,216,68807,211565,62067,65523,3,1190280,1186800,0.1498,0.0569,0.0726,3.98,0.0472,30.9336,1470085197,1.50E+11
4503-RISCY-FPU-a-1-c20-u0.9-m4-p2-f0.def,65515,214,68664,211588,61763,65512,3,1096200,1094400,0.1764,0.067,0.0855,3.98,0.0471,29.6936,2466350551,1.73E+11
4027-RISCY-FPU-a-1-c2-u0.7-m3-p4-f1.def,63535,584,91720,200053,124335,63532,3,1243620,1239300,0.1298,0.0617,0.0717,3.54,0.0459,48.9942,1458563719,1.06E+11
4528-RISCY-FPU-a-1-c20-u0.7-m3-p4-f1.def,65542,216,68876,211612,62159,65539,3,1227240,1224600,0.1408,0.0535,0.0683,3.97,0.0472,31.2426,1641795032,1.89E+11
4143-RISCY-FPU-a-1-c5-u0.7-m3-p1-f0.def,66752,357,71814,213300,65816,66749,3,1232010,1228800,0.1409,0.0548,0.0684,3.89,0.0469,33.3138,1544618261,1.66E+11
4343-RISCY-FPU-a-1-c5-u0.85-m2-p1-f1.def,67082,289,71491,213996,64446,67079,3,1128960,1125900,0.1684,0.0646,0.0809,3.89,0.0468,32.4669,1470125998,1.59E+11
4153-RISCY-FPU-a-1-c5-u0.7-m4-p3-f0.def,66969,328,71618,213769,64936,66966,3,1231440,1228800,0.1413,0.0545,0.0681,3.89,0.0468,32.6654,1500217136,1.82E+11
4184-RISCY-FPU-a-1-c5-u0.75-m4-p4-f0.def,66799,360,72116,213275,66509,66796,3,1194060,1191000,0.15,0.0584,0.0728,3.88,0.0468,33.8477,1519128123,1.59E+11
4475-RISCY-FPU-a-1-c20-u0.85-m1-p5-f0.def,65471,204,68591,211476,61714,65468,3,1125600,1121700,0.1675,0.0637,0.0812,3.98,0.0472,30.1477,1403177578,1.50E+11
3971-RISCY-FPU-a-1-c2-u0.85-m1-p8-f0.def,68998,454,78307,218218,76305,68995,3,1139040,1136400,0.1686,0.0691,0.0818,3.76,0.0468,39.739,2069887599,1.09E+11
4185-RISCY-FPU-a-1-c5-u0.75-m4-p5-f0.def,67146,297,71553,214164,64377,67143,3,1194060,1191000,0.1506,0.0578,0.0722,3.89,0.0468,33.3705,1513440649,1.76E+11
3913-RISCY-FPU-a-1-c2-u0.75-m1-p6-f0.def,68250,421,79669,213253,85488,68247,3,1205400,1201500,0.1472,0.0609,0.0738,3.75,0.0465,37.2568,1337070576,1.30E+11
4224-RISCY-FPU-a-1-c5-u0.85-m1-p7-f0.def,65817,379,72896,210435,71139,65814,3,1129545,1125900,0.1655,0.065,0.0814,3.86,0.0468,33.4674,2651518065,1.42E+11
3954-RISCY-FPU-a-1-c2-u0.8-m3-p7-f0.def,68684,426,78352,216299,78510,68681,3,1170120,1167900,0.1583,0.0649,0.0767,3.76,0.0465,37.3042,1677587887,1.61E+11
3883-RISCY-FPU-a-1-c2-u0.7-m1-p4-f0.def,67669,432,81575,211011,91669,67666,3,1243620,1239300,0.1369,0.059,0.071,3.71,0.0465,40.8217,1497049264,1.19E+11
4087-RISCY-FPU-a-1-c2-u0.85-m2-p1-f1.def,66817,496,82389,211712,92454,66814,3,1139040,1136400,0.1636,0.0701,0.0824,3.69,0.0467,43.1893,1790535137,1.20E+11
4415-RISCY-FPU-a-1-c20-u0.75-m1-p6-f0.def,65520,206,68616,211573,61675,65517,3,1190280,1186800,0.1498,0.0568,0.0726,3.98,0.0471,29.6347,1357800505,1.68E+11
3939-RISCY-FPU-a-1-c2-u0.8-m1-p4-f0.def,69199,416,78185,217753,76971,69196,3,1170120,1167900,0.1593,0.065,0.0777,3.77,0.0466,37.4547,1462899613,1.21E+11
4329-RISCY-FPU-a-1-c5-u0.8-m3-p2-f1.def,66287,390,72993,211360,70700,66284,3,1159620,1157400,0.1575,0.0618,0.0778,3.86,0.0468,33.4447,1446828395,1.59E+11
4255-RISCY-FPU-a-1-c5-u0.9-m1-p8-f0.def,67262,331,71030,214076,63463,67259,3,1099980,1098600,0.1772,0.0677,0.0849,3.91,0.0467,32.0581,6453818975,1.74E+11
