DEF_File,NumInstances,NumMacros,NumNets,NumValidPins,NumMissingPins,NumMovableInstances,NumFixedInstances,DieWidth,DieHeight,HPWL,PinDensity,CellDensity,MacroDensity,AvgNetDegree,RentsExponent,NetSkewness,TotalWirelength
ispd18_test1.input.def,8858,107,3153,17177,26,8858,0,390800,383040,126612226.6,0.1147,0.2007,0.0116,5.46,0.0634,3.4786,13011800011
ispd18_test4.input.def,72094,129,72410,316670,1575,72090,4,1777200,1210000,4021084976,0.1473,0.1199,0.1025,4.4,0.0489,12.0346,4.07977E+11
ispd18_test7.input.def,179881,68,179863,790622,2667,179865,16,2716400,2650880,9049826719,0.1098,0.0848,0.1224,4.41,0.0452,25.2301,9.94342E+11
ispd18_test9.input.def,192911,68,178858,790550,1211,180865,12046,1820000,1568800,8308536926,0.2769,0.2149,0,4.43,0.0451,13.0854,8.00298E+11
ispd18_test6.input.def,107919,117,107701,474330,1211,107919,0,1715200,1062400,5512939331,0.2603,0.2105,0.0001,4.42,0.0473,10.0601,5.17104E+11
ispd18_test5.input.def,71954,129,72394,316256,1939,71946,8,1857000,1840000,3979830049,0.0926,0.0754,0.1289,4.4,0.0489,15.0299,4.05944E+11
ispd18_test10.input.def,290386,72,182000,810550,1211,278340,12046,1820000,1568800,10570555175,0.2839,0.2371,0,4.46,0.0442,13.1615,8.83792E+11
ispd18_test2.input.def,34871,120,36834,155844,3357,34871,0,1301600,1148360,1735010029,0.1043,0.1177,0,4.32,0.0514,5.8104,1.42864E+11
ispd18_test8.input.def,192003,69,179863,790622,2667,179865,12138,2716400,2650880,9087573023,0.1098,0.0852,0.1224,4.41,0.045,25.2301,9.94667E+11
ispd18_test3.input.def,35977,131,36700,158128,1575,35973,4,1977170,1410020,1867660936,0.0567,0.0638,0.079,4.35,0.0517,10.3335,1.47445E+11
